Name,Birth Date,Death Date,Famous Quote
Albert Einstein,14 March 1879,18 April 1955,"Life is like riding a bicycle. To keep your balance you must keep moving."
Mahatma Gandhi,2 October 1869,30 January 1948,"Be the change that you wish to see in the world."
Martin Luther King Jr.,15 January 1929,4 April 1968,"I have a dream that one day this nation will rise up and live out the true meaning of its creed: 'We hold these truths to be self-evident that all men are created equal.'"
Marilyn Monroe,1 June 1926,5 August 1962,"Imperfection is beauty madness is genius and it's better to be absolutely ridiculous than absolutely boring."
Nelson Mandela,18 July 1918,5 December 2013,"The greatest glory in living lies not in never falling but in rising every time we fall."
William Shakespeare,26 April 1564,23 April 1616,"To be or not to be that is the question."
Mother Teresa,26 August 1910,5 September 1997,"Spread love everywhere you go. Let no one ever come to you without leaving happier."
Leonardo da Vinci,15 April 1452,2 May 1519,"Learning never exhausts the mind."
Winston Churchill,30 November 1874,24 January 1965,"Success is not final failure is not fatal: It is the courage to continue that counts."
Jane Austen,16 December 1775,18 July 1817,"There is no charm equal to tenderness of heart."
