DexNumber,Name,Type1,Type2,GenderRatio (M),GenderRatio (F),BaseStats (HP),BaseStats (Atk),BaseStats (Def),BaseStats (Spa),BaseStats (Spd),BaseStats (Spe),Abilities,Height (m),Weight (kg),Color,EvoLevel,Evos
1,Bulbasaur,Grass,Poison,0.875,0.125,45,49,49,65,65,45,0: Overgrow H: Chlorophyll,0.7,6.9,Green,,Ivysaur
2,Ivysaur,Grass,Poison,0.875,0.125,60,62,63,80,80,60,0: Overgrow H: Chlorophyll,1,13,Green,16,Venusaur
3,Venusaur,Grass,Poison,0.875,0.125,80,82,83,100,100,80,0: Overgrow H: Chlorophyll,2,100,Green,32,
4,Charmander,Fire,null,0.875,0.125,39,52,43,60,50,65,0: Blaze H: Solar Power,0.6,8.5,Red,,Charmeleon
5,Charmeleon,Fire,null,0.875,0.125,58,64,58,80,65,80,0: Blaze H: Solar Power,1.1,19,Red,16,Charizard
6,Charizard,Fire,Flying,0.875,0.125,78,84,78,109,85,100,0: Blaze H: Solar Power,1.7,90.5,Red,36,
7,Squirtle,Water,null,0.875,0.125,44,48,65,50,64,43,0: Torrent H: Rain Dish,0.5,9,Blue,,Wartortle
8,Wartortle,Water,null,0.875,0.125,59,63,80,65,80,58,0: Torrent H: Rain Dish,1,22.5,Blue,16,Blastoise
9,Blastoise,Water,null,0.875,0.125,79,83,100,85,105,78,0: Torrent H: Rain Dish,1.6,85.5,Blue,36,
10,Caterpie,Bug,null,0.5,0.5,45,30,35,20,20,45,0: Shield Dust H: Run Away,0.3,2.9,Green,,Metapod
11,Metapod,Bug,null,0.5,0.5,50,20,55,25,25,30,0: Shed Skin,0.7,9.9,Green,7,Butterfree
12,Butterfree,Bug,Flying,0.5,0.5,60,45,50,90,80,70,0: Compound Eyes H: Tinted Lens,1.1,32,White,10,
13,Weedle,Bug,Poison,0.5,0.5,40,35,30,20,20,50,0: Shield Dust H: Run Away,0.3,3.2,Brown,,Kakuna
14,Kakuna,Bug,Poison,0.5,0.5,45,25,50,25,25,35,0: Shed Skin,0.6,10,Yellow,7,Beedrill
15,Beedrill,Bug,Poison,0.5,0.5,65,90,40,45,80,75,0: Swarm H: Sniper,1,29.5,Yellow,10,
16,Pidgey,Normal,Flying,0.5,0.5,40,45,40,35,35,56,0: Keen Eye 1: Tangled Feet H: Big Pecks,0.3,1.8,Brown,,Pidgeotto
17,Pidgeotto,Normal,Flying,0.5,0.5,63,60,55,50,50,71,0: Keen Eye 1: Tangled Feet H: Big Pecks,1.1,30,Brown,18,Pidgeot
18,Pidgeot,Normal,Flying,0.5,0.5,83,80,75,70,70,101,0: Keen Eye 1: Tangled Feet H: Big Pecks,1.5,39.5,Brown,36,
19,Rattata,Normal,null,0.5,0.5,30,56,35,25,35,72,0: Run Away 1: Guts H: Hustle,0.3,3.5,Purple,,Raticate
